============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
He permits | يَسْمَحُ |
He permitted | سمح |
He placed | وَضَعَ |
He places | يَضَعُ |
He played (i-a) | لَعِبَ |
He pleased | أَرْضَى |
He pleases | يُرْضِي |
He poured | صب |
He pours | يصب |
He pretends | يَتَظَاهَرُ |
He prevented | مَنَعَ |
He prevents | يَمْنَعُ |
He promised | وَعَدَ |
He promises | يَعِدُ |
He prostrated (a-u) | سجد |
He pushed | دَفَعَ |
He pushes | يَدْفَعُ |
He raised (a-a) | رَفَعَ |
He raised | رَفَعَ |
He ran | جرى |
He read (a-a) | قَرَأَ |
He read | قَرَأَ |
He reads | يَقْرَأُ |
He recited | تلا |
He recites | يَتْلُو |
He rejoiced | فَرِحَ |
He remained | بقي |
He remains | يَبْقَى |
He repented | تاب |
He repents | يَتُوبُ |
He replied | رَدَّ |
He replies | يرد |
He requested | رَجَا |
He returned (a-i) | رَجَعَ |
He returned | رجع |
He returns | يَؤُوبُ |
He said | قَالَ |
He saw | رأَى |
He says | يَقُولُ |
He searched for | بَحَثَ عَنْ |
He searches for | يَبْحَثُ عَنْ |
He sells | يَبِيعُ |
He shaved | حَلَقَ |
He shaves | يَحْلِقُ |
He showed/advised | دَلَّ |
He shows/advises | يَدُلُّ |
He slaughtered | ذَبَحَ |
He sleeps | يَنَامُ |
He slept | نَامَ |
He smells | يَشَمُّ |
He smelt | شم |
He sold | بَاعَ |
He sought refuge | عَاذَ |
He spat | بصق |
He speculates | ظَنَّ |
He spits | يَبْصُقُ |
He stands | يَقِفُ |
He stood up | قَامَ |
He stood | قَامَ |
He studied | درس |
He succeeded/ passed | نَجَحَ |
He swallowed | بَلِعَ |
He swallows | يَبْلَعُ |
He sweeps | يَكْنُسُ |
He swept | كنس |
He tasted | ذاق |
He tastes | يَذُوقُ |
He thanked | شكر |
He thanks | يَشْكُرُ |
He thinks | يَظُنُّ |
He threw | رمى |
He throws | يَرْمِي |
He took | أَخَذَ |
He travelled | سار |
He travels | يسير |
He turned | دار |
He turns | يدور |
He understands | يَفْهَمُ |
He understood (i-a) | فَهِمَ |
He understood | فَهِمَ |
He urinated | بال |
He urinates | يَبُولُ |
He visited | زار |
He visits | يزور |
He walked | مَشَى |
He walks | يَسِيرُ |
He wanted | أَرَادَ |
He wants | يُرِيدُ |
He was able (possible) | أَمْكَنَ |
He was about | كاد |
He was absent | غَابَ |
He was patient | صبر |
He was pleased | فَرِحَ |
He was present | حضر |
He was sad | حَزِنَ |
He was | كان |
He washed (a-i) | غَسَلَ |
He washed | غَسَلَ |
He washes | يَغْسِلُ |
He weighed | وَزَنَ |
He weighs | يَزِنُ |
He went (a-a) | ذَهَبَ |
He went | ذهب |
He will remain | سیبقی |
He wore/dressed | لبس |
He worked | عَمِلَ |
He worshipped | عبد |
He wrote (a-u) | كتب |
He wrote | كتب |
Her (attached pronoun) | ها |
Here I am | هأنذا |
Hi is killing | يَقْتُلُ |
Hi sat (a-i) | جَلَسَ |
His (attached pronoun) | ه |
His father | أَبُوهُ |
How good you are | مَا أَطْيَبَكَ |
How numerous the stars are | مَا أَكْثَرَ النُّجُومَ |
How poor she is | مَا أَفْقَرَهَا |
Hundred and four (f) | مِائَةً وَأَرْبَعُ طَالِبَاتٍ |
Hundred and four (m) | مِائَةً وَ أَرْبَعَةُ طُلاب |
I (masculine/feminine) | أنا
I am bored/ Annoyed | أف |
I am fine | أنا بخير |
I am happy to meet you | أنا مَسْرُور بلقائك |
I am happy with you | أَنَا مَسْرُورٌ بِكَ |
I am like him | أنا كمثله |
I am not | لستُ |
I am visiting | أَزُورُ |
I command | آمر |
I don't know | لا أَدْرِي |
I eat | اكل |
I feel pain | آه |
I forgot | نسيت |
I have understood it well | فَهِمْتُهُ جَيِّداً |
I have | لي |
I hope/fear | لَعَلَّ |
I live | أَسْكُنُ |
I love | أحب |
I request | أَرْجُو |
I said | قلت |
I saw her (f) | رَأَيْتُهَا |
I saw him | رَأَيْتُهُ |
I saw them (f.pl) | رأَيْتُهُنَّ |
I saw them (m,pl) | رَأَيْتُهُمْ |
I saw | أَرَى |
I say | أَقُولُ |
I stood | قُمْتُ |
I take | أخُذُ |
I think | أَظُنُّ |
I thought | ظننتُ |
I visited | زُرْتُ |
I want | أُرِيدُ |
I wanted | أَرَدْتُ |
I went | ذهبت |
I witness | أَشْهَدُ |
Indeed they (f.pl) | إِنَّهُنَّ |
Indeed they (m.pl) | إِنَّهُمْ |
Indeed you (f) | إِنَّكِ |
Indeed you (f.pl) | إِنَّكُنَّ |
Indeed you (m) | إِنَّكَ |
Indeed you (m,pl) | إِنَّكُمْ |
Isn't that so? | أَلَيْسَ كَذلِكَ؟ |
It/She has | لها |
Jesus son of Mary | عِيسَى ابْنُ مَرْيَمَ
Kingdom of Saudi Arabia | المملكة العربية السعودية |
May no harm come to you | لا بَأْسَ بكَ |
Middle of the night | مُنْتَصَفُ اللَّيْلِ |
My people | قَوْمِي |
